,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,Stalker (1979),17 October 2004 (Hong Kong),Andrei Tarkovsky,Alisa Freyndlikh/Aleksandr Kaydanovskiy/Anatoliy Solonitsyn,8.1,"92,759",A guide leads two men through an area known as the Zone to find a room that grants wishes.
0,Hotel Rwanda (2004),4 March 2005 (UK),Terry George,Don Cheadle/Sophie Okonedo/Joaquin Phoenix,8.1,"305,713",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
0,Ben-Hur (1959),16 November 1961 (Hong Kong),William Wyler,Charlton Heston/Jack Hawkins/Stephen Boyd,8.1,"195,120","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
0,Persona (1966),3 April 1969 (Hong Kong),Ingmar Bergman,Bibi Andersson/Liv Ullmann/Margaretha Krook,8.1,"82,467",A nurse is put in charge of a mute actress and finds that their personae are melding together.
0,Salinui chueok (2003),4 March 2004 (Hong Kong),Joon-ho Bong,Kang-ho Song/Sang-kyung Kim/Roe-ha Kim,8.1,"94,610","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
0,12 Years a Slave (2013),27 February 2014 (Hong Kong),Steve McQueen,Chiwetel Ejiofor/Michael Kenneth Williams/Michael Fassbender,8.1,"554,370","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
0,Andrei Rublev (1966),16 October 2004 (Hong Kong),Andrei Tarkovsky,Anatoliy Solonitsyn/Ivan Lapikov/Nikolay Grinko,8.2,"36,470","The life, times and afflictions of the fifteenth-century Russian iconographer."
0,Le salaire de la peur (1953),22 April 1953 (France),Henri-Georges Clouzot,Yves Montand/Charles Vanel/Peter van Eyck,8.1,"46,418","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
0,Million Dollar Baby (2004),10 March 2005 (Hong Kong),Clint Eastwood,Hilary Swank/Clint Eastwood/Morgan Freeman,8.1,"568,964",A determined woman works with a hardened boxing trainer to become a professional.
0,La passion de Jeanne d'Arc (1928),25 October 1928 (France),Carl Theodor Dreyer,Maria Falconetti/Eugene Silvain/Andr¨¦ Berley,8.2,"38,546","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
0,Rush (2013),11 December 2015 (China),Ron Howard,Daniel Br¨¹hl/Chris Hemsworth/Olivia Wilde,8.1,"379,903",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
0,Rang De Basanti (2006),26 January 2006 (India),Rakeysh Omprakash Mehra,Aamir Khan/Soha Ali Khan/Siddharth,8.2,"96,614","The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom."
