,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,Heat (1995),7 March 1996 (Hong Kong),Michael Mann,Al Pacino/Robert De Niro/Val Kilmer,8.2,"507,043",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
0,Ikiru (1952),9 October 1952 (Japan),Akira Kurosawa,Takashi Shimura/Nobuo Kaneko/Shin'ichi Himori,8.3,"55,785",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
0,Raging Bull (1980),7 May 1981 (Hong Kong),Martin Scorsese,Robert De Niro/Cathy Moriarty/Joe Pesci,8.2,"277,894","The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it."
0,Incendies (2010),21 April 2011 (Hong Kong),Denis Villeneuve,Lubna Azabal/M¨¦lissa D¨¦sormeaux-Poulin/Maxim Gaudette,8.2,"116,216",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
0,Bohemian Rhapsody (2018),1 November 2018 (Hong Kong),Bryan Singer,Rami Malek/Lucy Boynton/Gwilym Lee,8.4,"74,487",A chronicle of the years leading up to Queen's legendary appearance at the Live Aid (1985) concert.
0,The Great Escape (1963),23 January 1964 (Hong Kong),John Sturges,Steve McQueen/James Garner/Richard Attenborough,8.2,"198,365",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
0,Babam ve Oglum (2005),18 November 2005 (Turkey),?agan Irmak,?etin Tekindor/Fikret Kuskan/H¨¹meyra,8.4,"61,641",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
0,Bacheha-Ye aseman (1997),13 May 1999 (Hong Kong),Majid Majidi,Mohammad Amir Naji/Amir Farrokh Hashemian/Bahare Seddiqi,8.3,"47,700","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
0,Pan's Labyrinth (2006),15 March 2007 (Hong Kong),Guillermo del Toro,Ivana Baquero/Ariadna Gil/Sergi L¨®pez,8.2,"553,508","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
0,Chinatown (1974),26 March 1982 (Hong Kong),Roman Polanski,Jack Nicholson/Faye Dunaway/John Huston,8.2,"256,866","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
0,The Third Man (1949),13 September 1951 (Hong Kong),Carol Reed,Orson Welles/Joseph Cotten/Alida Valli,8.2,"138,221","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
0,Tonari no Totoro (1988),15 July 1988 (Hong Kong),Hayao Miyazaki,Hitoshi Takagi/Noriko Hidaka/Chika Sakamoto,8.2,"226,462","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
0,Ran (1985),1 June 1985 (Japan),Akira Kurosawa,Tatsuya Nakadai/Akira Terao/Jinpachi Nezu,8.2,"95,752","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
0,Hauru no ugoku shiro (2004),17 March 2005 (Hong Kong),Hayao Miyazaki,Chieko Baish?/Takuya Kimura/Tatsuya Gash?in,8.2,"269,923","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
0,Judgment at Nuremberg (1961),18 December 1961 (Sweden),Stanley Kramer,Spencer Tracy/Burt Lancaster/Richard Widmark,8.2,"58,779","In 1948, an American court in occupied Germany tries four Nazi judges for war crimes."
0,The Gold Rush (1925),15 April 1926 (Hong Kong),Charles Chaplin,Charles Chaplin/Mack Swain/Tom Murray,8.2,"85,549",A prospector goes to the Klondike in search of gold and finds it and more.
0,El secreto de sus ojos (2009),13 August 2009 (Argentina),Juan Jos¨¦ Campanella,Ricardo Dar¨ªn/Soledad Villamil/Pablo Rago,8.2,"166,169",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
0,The Bridge on the River Kwai (1957),9 January 1958 (Hong Kong),David Lean,William Holden/Alec Guinness/Jack Hawkins,8.2,"180,072","After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it."
0,"Three Billboards Outside Ebbing, Missouri (2017)",18 January 2018 (Hong Kong),Martin McDonagh,Frances McDormand/Woody Harrelson/Sam Rockwell,8.2,"291,622",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
0,A Beautiful Mind (2001),28 February 2002 (Hong Kong),Ron Howard,Russell Crowe/Ed Harris/Jennifer Connelly,8.2,"741,761","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
0,"Lock, Stock and Two Smoking Barrels (1998)",23 September 1999 (Hong Kong),Guy Ritchie,Jason Flemyng/Dexter Fletcher/Nick Moran,8.2,"479,310","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
0,On the Waterfront (1954),17 March 1955 (Hong Kong),Elia Kazan,Marlon Brando/Karl Malden/Lee J. Cobb,8.2,"124,089",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
0,Casino (1995),14 March 1996 (Hong Kong),Martin Scorsese,Robert De Niro/Sharon Stone/Joe Pesci,8.2,"399,427","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
0,Det sjunde inseglet (1957),30 March 1961 (Hong Kong),Ingmar Bergman,Max von Sydow/Gunnar Bj?rnstrand/Bengt Ekerot,8.2,"137,456","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
0,Inside Out (2015),6 October 2015 (China),Pete Docter/Ronnie Del Carmen,Amy Poehler/Bill Hader/Lewis Black,8.2,"505,050","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
0,The Elephant Man (1980),15 October 1981 (Hong Kong),David Lynch,Anthony Hopkins/John Hurt/Anne Bancroft,8.2,"193,899","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous fa?ade, there is revealed a person of intelligence and sensitivity."
0,Room (2015),3 March 2016 (Hong Kong),Lenny Abrahamson,Brie Larson/Jacob Tremblay/Sean Bridgers,8.2,"291,656","Held captive for years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
0,Mr. Smith Goes to Washington (1939),13 September 1946 (Hong Kong),Frank Capra,James Stewart/Jean Arthur/Claude Rains,8.2,"94,742","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
0,The Wolf of Wall Street (2013),13 February 2014 (Hong Kong),Martin Scorsese,Leonardo DiCaprio/Jonah Hill/Margot Robbie,8.2,"984,887","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
0,V for Vendetta (2005),16 March 2006 (Hong Kong),James McTeigue,Hugo Weaving/Natalie Portman/Rupert Graves,8.2,"925,167","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
0,Warrior (2011),24 February 2012 (Hong Kong),Gavin O'Connor,Tom Hardy/Nick Nolte/Joel Edgerton,8.2,"392,351","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
0,Blade Runner (1982),22 December 1982 (Hong Kong),Ridley Scott,Harrison Ford/Rutger Hauer/Sean Young,8.2,"604,525","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
0,The General (1926),7 April 1927 (Hong Kong),Clyde Bruckman/Buster Keaton,Buster Keaton/Marion Mack/Glen Cavender,8.2,"68,536","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
0,Smultronst?llet (1957),26 December 1957 (Sweden),Ingmar Bergman,Victor Sj?str?m/Bibi Andersson/Ingrid Thulin,8.2,"80,216","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
0,Dial M for Murder (1954),29 May 1954 (USA),Alfred Hitchcock,Ray Milland/Grace Kelly/Robert Cummings,8.2,"134,959",A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.
0,Trainspotting (1996),21 November 1996 (Hong Kong),Danny Boyle,Ewan McGregor/Ewen Bremner/Jonny Lee Miller,8.2,"571,213","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
