,CONAME,address,lat,lng,distance
276,KENNAMETAL INC,"1600 Technology Way, PO Box 231, Latrobe, PA, 15650",40.27785000000001,-79.3937627,10916.230604
277,KIMBERLY-CLARK CORP,"PO Box 619100, Dallas, TX, 75261",32.898088,-97.0337141,12031.919756
278,KIRBY CORP,"55 Waugh Drive, Suite 1000, Houston, TX, 77007",29.767155,-95.39769199999999,12362.339112
279,KROGER CO,"1014 Vine Street, Cincinnati, OH, 45202",39.1067459,-84.5138214,11164.775717
280,KULICKE & SOFFA INDUSTRIES,"23A Serangoon North Avenue 5, No. 01-01 K&S Corporate Headqu, Singapore, 554369",1.3759335,103.8740889,4971.630945
281,LSB INDUSTRIES INC,"16 South Pennsylvania Avenue, Oklahoma City, OK, 73107",35.466203,-97.547483,11751.764775
282,LA-Z-BOY INC,"One La-Z-Boy Drive, Monroe, MI, 48162",41.9330927,-83.39458490000001,10837.110659
283,LACLEDE GROUP INC,"700 Market Street, St. Louis, MO, 63101",38.6256588,-90.1929457,11321.818859
284,LAM RESEARCH CORP,"4650 Cushing Parkway, Fremont, CA, 94538",37.488472,-121.9574428,11326.321001
285,LANCASTER COLONY CORP,"37 West Broad Street, Columbus, OH, 43215",39.9617817,-83.00202759999999,11039.399329
286,SNYDERS-LANCE INC,"13024 Ballantyne Corporate Place, Suite 900, Charlotte, NC, 28277",35.0559649,-80.8428821,11507.042638
287,LEGGETT & PLATT INC,"No. 1 Leggett Road, Carthage, MO, 64836",37.1774372,-94.3843215,11535.076049
288,LEGG MASON INC,"100 International Drive, Baltimore, MD, 21202-1099",39.2825907,-76.6016092,10941.239689
289,LENNAR CORP,"700 Northwest 107th Avenue, Miami, FL, 33172",25.7769431,-80.37039759999999,12470.794594
290,LEUCADIA NATIONAL CORP,"520 Madison Avenue, New York, NY, 10022",40.760264,-73.9745165,10706.846182
291,LILLY (ELI) & CO,"Lilly Corporate Center, Indianapolis, IN, 46285",39.7559112,-86.1530808,11128.523419
292,L BRANDS INC,"Three Limited Parkway, Columbus, OH, 43230",40.0543384,-82.89688149999999,11027.084454
293,LINCOLN ELECTRIC HLDGS INC,"22801 St. Clair Avenue, Cleveland, OH, 44117",41.5884253,-81.5195262,10831.133839
294,LINCOLN NATIONAL CORP,"150 North Radnor Chester Road, Suite A305, Radnor, PA, 19087",40.04303489999999,-75.3658121,10824.607795
295,KATE SPADE & CO,"2 Park Avenue, New York, NY, 10016",40.7460032,-73.9824513,10708.565642
296,LOCKHEED MARTIN CORP,"6801 Rockledge Drive, Bethesda, MD, 20817",39.03099,-77.138944,10983.498478
297,LOEWS CORP,"667 Madison Avenue, New York, NY, 10065",40.7644306,-73.9701927,10706.279663
298,RANGE RESOURCES CORP,"100 Throckmorton Street, Suite 1200, Fort Worth, TX, 76102",32.7557098,-97.3345964,12049.973254
299,LOUISIANA-PACIFIC CORP,"414 Union Street, Suite 2000, Nashville, TN, 37219",36.1649101,-86.7808709,11529.287588
300,LOWE'S COMPANIES INC,"1605 Curtis Bridge Road, Wilkesboro, NC, 28697",36.1525775,-81.18654769999999,11400.167278
301,LYDALL INC,"One Colonial Road, Manchester, CT, 6042",41.7967838,-72.5075418,10553.136672
302,MDC HOLDINGS INC,"4350 South Monaco Street, Suite 500, Denver, CO, 80237",39.6357211,-104.9107342,11305.447288
303,MDU RESOURCES GROUP INC,"1200 West Century Avenue, PO Box 5650, Bismarck, ND, 58506",46.8358387,-100.8126265,10505.394486
304,MTS SYSTEMS CORP,"14000 Technology Drive, Eden Prairie, MN, 55344",44.8599252,-93.4553567,10678.813551
305,MARATHON OIL CORP,"5555 San Felipe Street, Houston, TX, 77056",29.7493564,-95.4715705,12365.078832
306,MARCUS CORP,"100 East Wisconsin Avenue, Suite 1900, Milwaukee, WI, 53202",43.0389547,-87.9094954,10804.176876
