ticker,security,sector,sub industry,location,date
DISCK,Discovery Inc. Class C,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DISH,Dish Network,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DG,Dollar General,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DLTR,Dollar Tree,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
D,Dominion Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DOV,Dover Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DWDP,DowDuPont,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DTE,DTE Energy Co.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DRE,Duke Realty Corp,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DUK,Duke Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DXC,DXC Technology,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ETFC,E*Trade,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EMN,Eastman Chemical,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ETN,Eaton Corporation,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EBAY,eBay Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ECL,Ecolab Inc.,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EIX,Edison Int'l,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EW,Edwards Lifesciences,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EA,Electronic Arts,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EMR,Emerson Electric Company,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ETR,Entergy Corp.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EOG,EOG Resources,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EQT,EQT Corporation,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EFX,Equifax Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EQIX,Equinix,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EQR,Equity Residential,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ESS,"Essex Property Trust, Inc.",Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EL,Estee Lauder Cos.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EVRG,Evergy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ES,Eversource Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RE,Everest Re Group Ltd.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EXC,Exelon Corp.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EXPE,Expedia Group,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EXPD,Expeditors,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ESRX,Express Scripts,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
EXR,Extra Space Storage,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XOM,Exxon Mobil Corp.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FFIV,F5 Networks,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FB,"Facebook, Inc.",Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FAST,Fastenal Co,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FRT,Federal Realty Investment Trust,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FDX,FedEx Corporation,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FIS,Fidelity National Information Services,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FITB,Fifth Third Bancorp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FE,FirstEnergy Corp,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
