SIMS_LATITUDE,SIMS_LONGITUDE
32.83388,-109.718611
34.2319,-113.58
33.49462,-112.13098
33.48385,-112.14257
33.287778,-111.816667
33.41045,-111.86507
33.56033,-112.06626
33.45223,-111.73331
33.57454,-112.19196
33.706328,-111.855622
33.45793,-112.04601
33.47968,-111.91721
33.46093,-112.11748
33.40316,-112.07533
33.29898,-111.88431
33.4124,-111.93473
33.31074,-111.72255
33.82169,-112.01739
33.40642,-112.14434
33.63713,-112.34184
33.37005,-112.6207
33.290229,-112.160597
33.488242,-111.855654
33.507992,-111.755334
33.474609,-111.805769
33.507566,-111.832483
33.4349,-112.093
33.9828,-111.7987
33.54549,-111.60925
33.61103,-111.72529
33.71881,-111.67183
33.4265,-112.11814
33.503833,-112.095767
33.455277,-111.996111
35.540017,-113.410782
35.153888,-114.566111
35.588726,-113.489025
34.55199,-113.372362
36.019302,-114.069205
34.2525,-110.036388
34.82251,-109.89249
32.382036,-112.857453
32.222058,-110.974681
31.95,-112.801
32.004707,-110.792593
32.322661,-111.038389
32.414344,-111.154544
32.174538,-110.737116
32.201978,-110.967905
32.27229,-110.989079
32.204411,-110.878067
32.20739,-110.910619
32.425261,-111.06352
32.04767,-110.774357
32.0475,-110.773889
32.222103,-110.893842
32.125919,-110.982556
32.29515,-110.9823
31.87952,-110.99644
32.1912,-110.840582
32.173,-110.980115
32.38082,-111.12716
32.251843,-110.965293
32.248712,-111.218494
32.877583,-111.752222
32.598611,-110.633611
33.4214,-111.5436
33.421194,-111.503222
32.954361,-111.76225
32.978556,-111.514833
32.7559,-111.5551
32.719307,-110.641934
32.508306,-111.308056
32.881194,-111.962
33.219111,-111.561111
33.0585,-112.047219
32.891056,-111.5705
33.105806,-110.974194
33.080087,-111.739999
33.117556,-111.885814
33.293465,-111.285594
31.337204,-110.936718
34.42888,-112.961944
34.595,-112.331
34.340556,-111.683923
32.677001,-114.648905
32.677855,-114.475861
34.518515,-91.55896
33.136862,-91.950377
35.197288,-90.193141
35.33395,-90.24587
35.277672,-90.450692
35.105193,-92.427859
34.469441,-93.000178
35.929167,-89.900833
35.832726,-93.20826
35.825893,-93.203187
34.529766,-90.586049
34.583699,-94.226234
34.454406,-94.143316
35.259775,-93.10005
34.756189,-92.281296
34.835721,-92.260581
34.729603,-92.243587
34.676268,-92.337164
34.744931,-92.320064
35.389672,-94.424288
33.220274,-92.669619
36.045751,-94.168978
35.24894,-91.715596
37.7986,-122.2684
37.710229,-122.116899
37.687526,-121.784217
37.817118,-122.280454
37.535833,-121.961823
37.654456,-122.031547
38.339905,-120.763515
39.757371,-121.843286
39.714041,-121.618836
39.751389,-121.619444
39.327563,-121.668811
38.201852,-120.681567
39.021221,-122.281803
39.202935,-122.017728
37.936013,-122.026154
37.926162,-122.385561
37.948172,-122.364852
38.034331,-122.270336
38.05492,-122.233229
38.006311,-121.641918
37.9604,-122.356811
38.012816,-122.134467
38.029258,-121.896866
41.561111,-124.082778
41.7644,-124.1998
38.725282,-120.821916
38.944979,-119.970609
38.81161,-120.033084
38.91028,-119.99528
38.890941,-121.003373
38.976,-120.103506
36.705506,-119.741966
36.781333,-119.77319
36.841389,-119.874444
36.5975,-119.503611
36.819111,-119.717356
36.72639,-119.733
37.22064,-119.155557
39.517778,-122.190278
40.80178,-124.1621
40.883641,-123.99843
32.673889,-115.503056
32.676186,-115.484144
32.677778,-115.389722
32.97833,-115.53917
32.79222,-115.56306
33.0325,-115.62361
33.213611,-115.54528
36.609003,-118.057809
36.60503,-118.047979
36.068889,-117.755
36.267536,-117.993002
36.326172,-117.95512
36.419994,-117.836753
36.366319,-117.897609
36.361932,-118.01068
37.407244,-118.345308
36.508611,-116.847778
36.049402,-117.943927
36.487823,-117.871036
36.595556,-118.049167
37.362194,-118.416539
36.835002,-118.22575
35.346094,-118.852037
35.054444,-119.403889
35.385574,-119.015009
35.050551,-118.147294
35.356092,-119.041209
35.62109,-117.67296
35.322928,-118.999167
35.438869,-119.016765
35.142222,-119.46
35.208333,-118.784444
35.503587,-119.272606
34.821944,-118.886667
36.10218,-119.566954
36.314399,-119.64457
39.0327,-122.92229
38.77453,-122.6995
38.84846,-122.75797
38.85022,-122.7362
34.1365,-117.92391
34.14435,-117.85036
34.05111,-118.45636
34.17605,-118.31712
34.06659,-118.22688
34.19925,-118.53276
33.92899,-118.21071
34.01407,-118.06056
34.01194,-118.06995
34.06703,-117.7514
34.1326,-118.1272
33.82376,-118.18921
33.79236,-118.17533
33.9508,-118.43043
34.38344,-118.5284
34.671394,-118.131456
34.813056,-118.883889
36.866667,-120.01
37.97231,-122.520004
38.123056,-122.908333
38.126834,-122.914957
37.832725,-122.527658
37.71325,-119.7062
37.549928,-119.844591
37.74306,-119.59389
37.745759,-119.603754
39.445833,-123.802778
39.15047,-123.20655
39.14566,-123.20298
39.403056,-123.349167
39.413056,-123.3525
37.281598,-120.434992
37.308537,-120.480993
37.64571,-118.96652
37.959672,-119.120266
38.091428,-118.997957
38.069711,-118.947738
37.669444,-118.414722
38.088023,-119.178069
36.495767,-121.731571
36.2275,-121.115556
36.804444,-121.785833
36.69676,-121.637182
38.310942,-122.296189
39.234331,-121.056591
39.316555,-120.845475
39.338504,-120.171291
33.83062,-117.93845
33.67464,-117.92568
33.63003,-117.67593
33.92513,-117.95264
38.937778,-121.103889
39.100278,-120.952778
38.745726,-121.266312
39.937099,-120.938821
40.31,-121.218056
39.808333,-120.471667
33.920556,-117.571389
33.7411,-115.8206
33.92086,-116.85841
33.94603,-117.40063
33.70853,-116.21537
33.85275,-116.54101
33.78942,-117.22764
33.99958,-117.41601
33.463644,-116.971457
33.67649,-117.33098
33.612406,-114.602886
38.71209,-121.38109
38.613779,-121.368014
38.61,-121.38
38.558228,-121.492981
38.302591,-121.420838
38.683304,-121.164457
38.636944,-121.513333
38.553611,-121.336111
38.556326,-121.458499
38.494475,-121.211131
36.844096,-121.362121
36.48324,-121.15688
34.895007,-117.024484
34.2431,-117.27235
34.426126,-117.563939
34.408333,-116.906944
34.141944,-116.055
34.037222,-117.69
34.510014,-117.331433
34.10374,-117.62914
35.763873,-117.397004
34.10002,-117.49201
34.418073,-117.285597
34.05977,-117.14731
34.264444,-116.864444
34.06957,-116.38893
34.10688,-117.27411
34.193925,-116.914063
32.631231,-117.059075
32.791194,-116.942092
32.836461,-117.128752
